AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
~|~|~|~|X(d) Gonadal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|60907384|0-14|All Races|Male and Female|2008|||
6.6|8.0|7.3|444|XI Other malignant epithelial neoplasms and malignant melanomas|60907384|0-14|All Races|Male and Female|2008|||
0.1|0.4|0.3|16|XI(a) Adrenocortical carcinomas|60907384|0-14|All Races|Male and Female|2008|||
2.2|3.0|2.6|157|XI(b) Thyroid carcinomas|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.4|0.3|17|XI(c) Nasopharyngeal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.7|2.3|141|XI(d) Malignant melanomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XI(e) Skin carcinomas|60907384|0-14|All Races|Male and Female|2008|||
1.5|2.2|1.8|110|XI(f) Other and unspecified carcinomas|60907384|0-14|All Races|Male and Female|2008|||
0.4|0.9|0.6|39|XII Other and unspecified malignant neoplasms|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.6|0.4|24|XII(a) Other specified malignant tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XII(b) Other unspecified malignant tumors|60907384|0-14|All Races|Male and Female|2008|||
159.8|166.2|163.0|10015|All ICCC Groups Combined|61087581|0-14|All Races|Male and Female|2009|||
50.7|54.3|52.5|3232|I Leukemias, myeloproliferative & myelodysplastic diseases|61087581|0-14|All Races|Male and Female|2009|||
39.4|42.7|41.0|2528|I(a) Lymphoid leukemias|61087581|0-14|All Races|Male and Female|2009|||
6.6|8.0|7.3|447|I(b) Acute myeloid leukemias|61087581|0-14|All Races|Male and Female|2009|||
1.2|1.9|1.5|94|I(c) Chronic myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009|||
1.2|1.8|1.5|93|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.4|1.1|70|I(e) Unspecified and other specified leukemias|61087581|0-14|All Races|Male and Female|2009|||
15.8|17.9|16.9|1026|II Lymphomas and reticuloendothelial neoplasms|61087581|0-14|All Races|Male and Female|2009|||
5.1|6.4|5.7|347|II(a) Hodgkin lymphomas|61087581|0-14|All Races|Male and Female|2009|||
6.3|7.7|7.0|425|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61087581|0-14|All Races|Male and Female|2009|||
2.0|2.8|2.4|143|II(c) Burkitt lymphoma|61087581|0-14|All Races|Male and Female|2009|||
1.3|2.0|1.6|100|II(d) Miscellaneous lymphoreticular neoplasms|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|II(e) Unspecified lymphomas|61087581|0-14|All Races|Male and Female|2009|||
33.9|36.9|35.4|2169|III CNS and misc intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
2.1|3.0|2.5|156|III(a) Ependymomas and choroid plexus tumor|61087581|0-14|All Races|Male and Female|2009|||
16.5|18.6|17.6|1075|III(b) Astrocytomas|61087581|0-14|All Races|Male and Female|2009|||
7.0|8.4|7.6|468|III(c) Intracranial and intraspinal embryonal tumors|61087581|0-14|All Races|Male and Female|2009|||
6.0|7.3|6.6|405|III(d) Other gliomas|61087581|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|34|III(e) Other specified intracranial & intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.7|0.5|31|III(f) Unspecified intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
10.0|11.6|10.8|670|IV Neuroblastoma and other peripheral nervous cell tumors|61087581|0-14|All Races|Male and Female|2009|||
9.8|11.4|10.6|660|IV(a) Neuroblastoma and ganglioneuroblastoma|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61087581|0-14|All Races|Male and Female|2009|||
9.9|11.6|10.7|657|IX Soft tissue and other extraosseous sarcomas|61087581|0-14|All Races|Male and Female|2009|||
4.0|5.0|4.5|275|IX(a) Rhabdomyosarcomas|61087581|0-14|All Races|Male and Female|2009|||
1.0|1.6|1.3|78|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|IX(c) Kaposi sarcoma|61087581|0-14|All Races|Male and Female|2009|||
3.3|4.3|3.8|231|IX(d) Other specified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.5|1.2|73|IX(e) Unspecified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|20|Not classified by ICCC|61087581|0-14|All Races|Male and Female|2009|||
4.0|5.1|4.5|283|V Retinoblastoma|61087581|0-14|All Races|Male and Female|2009|||
8.5|10.0|9.2|574|VI Renal tumors|61087581|0-14|All Races|Male and Female|2009|||
7.9|9.4|8.6|536|VI(a) Nephroblastoma and other nonepithelial renal tumors|61087581|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|36|VI(b) Renal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61087581|0-14|All Races|Male and Female|2009|||
1.8|2.6|2.2|137|VII Hepatic tumors|61087581|0-14|All Races|Male and Female|2009|||
1.5|2.2|1.9|116|VII(a) Hepatoblastoma|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|19|VII(b) Hepatic carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61087581|0-14|All Races|Male and Female|2009|||
6.4|7.7|7.0|427|VIII Malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
3.5|4.5|4.0|241|VIII(a) Osteosarcomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(b) Chondrosarcomas|61087581|0-14|All Races|Male and Female|2009|||
2.0|2.8|2.4|144|VIII(c) Ewing tumor and related sarcomas of bone|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.6|0.4|24|VIII(d) Other specified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
4.9|6.1|5.5|334|X Germ cell, trophoblastic tumors & neoplasms of gonads|61087581|0-14|All Races|Male and Female|2009|||
1.1|1.7|1.4|85|X(a) Intracranial & intraspinal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.5|1.2|74|X(b) Malignant extracranial & extragonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
2.2|3.0|2.6|160|X(c) Malignant gonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(d) Gonadal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61087581|0-14|All Races|Male and Female|2009|||
6.5|7.9|7.2|437|XI Other malignant epithelial neoplasms and malignant melanomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61087581|0-14|All Races|Male and Female|2009|||
2.5|3.4|2.9|178|XI(b) Thyroid carcinomas|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.6|0.4|25|XI(c) Nasopharyngeal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
1.3|2.0|1.6|100|XI(d) Malignant melanomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(e) Skin carcinomas|61087581|0-14|All Races|Male and Female|2009|||
1.6|2.3|1.9|114|XI(f) Other and unspecified carcinomas|61087581|0-14|All Races|Male and Female|2009|||
0.6|1.0|0.8|49|XII Other and unspecified malignant neoplasms|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|20|XII(a) Other specified malignant tumors|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.7|0.5|29|XII(b) Other unspecified malignant tumors|61087581|0-14|All Races|Male and Female|2009|||
167.1|173.6|170.3|10471|All ICCC Groups Combined|61202611|0-14|All Races|Male and Female|2010|||
52.4|56.1|54.3|3345|I Leukemias, myeloproliferative & myelodysplastic diseases|61202611|0-14|All Races|Male and Female|2010|||
39.3|42.6|40.9|2525|I(a) Lymphoid leukemias|61202611|0-14|All Races|Male and Female|2010|||
7.0|8.4|7.7|475|I(b) Acute myeloid leukemias|61202611|0-14|All Races|Male and Female|2010|||
1.6|2.3|1.9|119|I(c) Chronic myeloproliferative diseases|61202611|0-14|All Races|Male and Female|2010|||
1.6|2.3|1.9|119|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61202611|0-14|All Races|Male and Female|2010|||
1.4|2.1|1.7|107|I(e) Unspecified and other specified leukemias|61202611|0-14|All Races|Male and Female|2010|||
18.9|21.1|20.0|1220|II Lymphomas and reticuloendothelial neoplasms|61202611|0-14|All Races|Male and Female|2010|||
4.8|5.9|5.3|323|II(a) Hodgkin lymphomas|61202611|0-14|All Races|Male and Female|2010|||
6.5|7.9|7.2|437|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61202611|0-14|All Races|Male and Female|2010|||
2.1|2.9|2.5|151|II(c) Burkitt lymphoma|61202611|0-14|All Races|Male and Female|2010|||
4.3|5.4|4.8|299|II(d) Miscellaneous lymphoreticular neoplasms|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|II(e) Unspecified lymphomas|61202611|0-14|All Races|Male and Female|2010|||
34.9|37.9|36.4|2234|III CNS and misc intracranial and intraspinal neoplasms|61202611|0-14|All Races|Male and Female|2010|||
2.8|3.7|3.3|202|III(a) Ependymomas and choroid plexus tumor|61202611|0-14|All Races|Male and Female|2010|||
17.6|19.7|18.6|1142|III(b) Astrocytomas|61202611|0-14|All Races|Male and Female|2010|||
6.7|8.1|7.3|452|III(c) Intracranial and intraspinal embryonal tumors|61202611|0-14|All Races|Male and Female|2010|||
5.6|6.8|6.2|376|III(d) Other gliomas|61202611|0-14|All Races|Male and Female|2010|||
0.5|0.9|0.6|39|III(e) Other specified intracranial & intraspinal neoplasms|61202611|0-14|All Races|Male and Female|2010|||
0.2|0.6|0.4|23|III(f) Unspecified intracranial and intraspinal neoplasms|61202611|0-14|All Races|Male and Female|2010|||
10.4|12.1|11.2|695|IV Neuroblastoma and other peripheral nervous cell tumors|61202611|0-14|All Races|Male and Female|2010|||
10.2|11.9|11.0|685|IV(a) Neuroblastoma and ganglioneuroblastoma|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61202611|0-14|All Races|Male and Female|2010|||
10.7|12.4|11.6|708|IX Soft tissue and other extraosseous sarcomas|61202611|0-14|All Races|Male and Female|2010|||
5.0|6.2|5.6|343|IX(a) Rhabdomyosarcomas|61202611|0-14|All Races|Male and Female|2010|||
0.6|1.1|0.8|49|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|IX(c) Kaposi sarcoma|61202611|0-14|All Races|Male and Female|2010|||
3.4|4.4|3.9|237|IX(d) Other specified soft tissue sarcomas|61202611|0-14|All Races|Male and Female|2010|||
1.0|1.6|1.3|79|IX(e) Unspecified soft tissue sarcomas|61202611|0-14|All Races|Male and Female|2010|||
0.1|0.4|0.3|16|Not classified by ICCC|61202611|0-14|All Races|Male and Female|2010|||
4.1|5.1|4.6|284|V Retinoblastoma|61202611|0-14|All Races|Male and Female|2010|||
7.8|9.2|8.5|527|VI Renal tumors|61202611|0-14|All Races|Male and Female|2010|||
7.4|8.9|8.1|506|VI(a) Nephroblastoma and other nonepithelial renal tumors|61202611|0-14|All Races|Male and Female|2010|||
0.2|0.5|0.3|19|VI(b) Renal carcinomas|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61202611|0-14|All Races|Male and Female|2010|||
2.6|3.5|3.0|187|VII Hepatic tumors|61202611|0-14|All Races|Male and Female|2010|||
2.1|2.9|2.5|157|VII(a) Hepatoblastoma|61202611|0-14|All Races|Male and Female|2010|||
0.3|0.7|0.5|29|VII(b) Hepatic carcinomas|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61202611|0-14|All Races|Male and Female|2010|||
6.1|7.4|6.7|410|VIII Malignant bone tumors|61202611|0-14|All Races|Male and Female|2010|||
3.3|4.3|3.7|227|VIII(a) Osteosarcomas|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|VIII(b) Chondrosarcomas|61202611|0-14|All Races|Male and Female|2010|||
2.0|2.8|2.4|143|VIII(c) Ewing tumor and related sarcomas of bone|61202611|0-14|All Races|Male and Female|2010|||
0.2|0.5|0.3|20|VIII(d) Other specified malignant bone tumors|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61202611|0-14|All Races|Male and Female|2010|||
5.6|6.9|6.2|380|X Germ cell, trophoblastic tumors & neoplasms of gonads|61202611|0-14|All Races|Male and Female|2010|||
1.5|2.2|1.8|112|X(a) Intracranial & intraspinal germ cell tumors|61202611|0-14|All Races|Male and Female|2010|||
1.1|1.7|1.4|84|X(b) Malignant extracranial & extragonadal germ cell tumors|61202611|0-14|All Races|Male and Female|2010|||
2.2|3.1|2.6|160|X(c) Malignant gonadal germ cell tumors|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|X(d) Gonadal carcinomas|61202611|0-14|All Races|Male and Female|2010|||
0.2|0.4|0.3|16|X(e) Other and unspecified malignant gonadal tumors|61202611|0-14|All Races|Male and Female|2010|||
6.4|7.7|7.0|427|XI Other malignant epithelial neoplasms and malignant melanomas|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61202611|0-14|All Races|Male and Female|2010|||
2.4|3.3|2.8|171|XI(b) Thyroid carcinomas|61202611|0-14|All Races|Male and Female|2010|||
0.2|0.4|0.3|17|XI(c) Nasopharyngeal carcinomas|61202611|0-14|All Races|Male and Female|2010|||
1.5|2.2|1.8|110|XI(d) Malignant melanomas|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|XI(e) Skin carcinomas|61202611|0-14|All Races|Male and Female|2010|||
1.5|2.2|1.8|110|XI(f) Other and unspecified carcinomas|61202611|0-14|All Races|Male and Female|2010|||
0.4|0.8|0.6|38|XII Other and unspecified malignant neoplasms|61202611|0-14|All Races|Male and Female|2010|||
0.2|0.6|0.4|24|XII(a) Other specified malignant tumors|61202611|0-14|All Races|Male and Female|2010|||
~|~|~|~|XII(b) Other unspecified malignant tumors|61202611|0-14|All Races|Male and Female|2010|||
166.3|172.9|169.6|10417|All ICCC Groups Combined|61175486|0-14|All Races|Male and Female|2011|||
52.3|56.0|54.1|3330|I Leukemias, myeloproliferative & myelodysplastic diseases|61175486|0-14|All Races|Male and Female|2011|||
40.1|43.4|41.7|2571|I(a) Lymphoid leukemias|61175486|0-14|All Races|Male and Female|2011|||
7.0|8.4|7.7|472|I(b) Acute myeloid leukemias|61175486|0-14|All Races|Male and Female|2011|||
1.5|2.2|1.8|110|I(c) Chronic myeloproliferative diseases|61175486|0-14|All Races|Male and Female|2011|||
1.1|1.7|1.3|83|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61175486|0-14|All Races|Male and Female|2011|||
1.2|1.9|1.5|94|I(e) Unspecified and other specified leukemias|61175486|0-14|All Races|Male and Female|2011|||
19.0|21.3|20.1|1229|II Lymphomas and reticuloendothelial neoplasms|61175486|0-14|All Races|Male and Female|2011|||
4.6|5.8|5.2|315|II(a) Hodgkin lymphomas|61175486|0-14|All Races|Male and Female|2011|||
5.8|7.0|6.4|389|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61175486|0-14|All Races|Male and Female|2011|||
2.3|3.1|2.6|161|II(c) Burkitt lymphoma|61175486|0-14|All Races|Male and Female|2011|||
5.1|6.4|5.7|352|II(d) Miscellaneous lymphoreticular neoplasms|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|II(e) Unspecified lymphomas|61175486|0-14|All Races|Male and Female|2011|||
34.2|37.2|35.7|2188|III CNS and misc intracranial and intraspinal neoplasms|61175486|0-14|All Races|Male and Female|2011|||
3.0|3.9|3.4|212|III(a) Ependymomas and choroid plexus tumor|61175486|0-14|All Races|Male and Female|2011|||
16.9|19.0|17.9|1098|III(b) Astrocytomas|61175486|0-14|All Races|Male and Female|2011|||
6.4|7.7|7.0|432|III(c) Intracranial and intraspinal embryonal tumors|61175486|0-14|All Races|Male and Female|2011|||
5.7|6.9|6.3|383|III(d) Other gliomas|61175486|0-14|All Races|Male and Female|2011|||
0.4|0.7|0.5|32|III(e) Other specified intracranial & intraspinal neoplasms|61175486|0-14|All Races|Male and Female|2011|||
0.3|0.7|0.5|31|III(f) Unspecified intracranial and intraspinal neoplasms|61175486|0-14|All Races|Male and Female|2011|||
10.4|12.0|11.2|692|IV Neuroblastoma and other peripheral nervous cell tumors|61175486|0-14|All Races|Male and Female|2011|||
10.2|11.8|11.0|679|IV(a) Neuroblastoma and ganglioneuroblastoma|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61175486|0-14|All Races|Male and Female|2011|||
10.3|12.0|11.1|681|IX Soft tissue and other extraosseous sarcomas|61175486|0-14|All Races|Male and Female|2011|||
4.6|5.8|5.2|320|IX(a) Rhabdomyosarcomas|61175486|0-14|All Races|Male and Female|2011|||
0.8|1.4|1.1|65|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|IX(c) Kaposi sarcoma|61175486|0-14|All Races|Male and Female|2011|||
3.3|4.3|3.7|228|IX(d) Other specified soft tissue sarcomas|61175486|0-14|All Races|Male and Female|2011|||
0.8|1.4|1.1|66|IX(e) Unspecified soft tissue sarcomas|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|Not classified by ICCC|61175486|0-14|All Races|Male and Female|2011|||
3.7|4.7|4.2|259|V Retinoblastoma|61175486|0-14|All Races|Male and Female|2011|||
8.3|9.8|9.0|557|VI Renal tumors|61175486|0-14|All Races|Male and Female|2011|||
7.9|9.4|8.6|534|VI(a) Nephroblastoma and other nonepithelial renal tumors|61175486|0-14|All Races|Male and Female|2011|||
0.2|0.5|0.4|22|VI(b) Renal carcinomas|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61175486|0-14|All Races|Male and Female|2011|||
2.7|3.6|3.1|195|VII Hepatic tumors|61175486|0-14|All Races|Male and Female|2011|||
2.3|3.1|2.7|166|VII(a) Hepatoblastoma|61175486|0-14|All Races|Male and Female|2011|||
0.3|0.6|0.4|25|VII(b) Hepatic carcinomas|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61175486|0-14|All Races|Male and Female|2011|||
6.8|8.1|7.4|452|VIII Malignant bone tumors|61175486|0-14|All Races|Male and Female|2011|||
3.6|4.7|4.1|250|VIII(a) Osteosarcomas|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|VIII(b) Chondrosarcomas|61175486|0-14|All Races|Male and Female|2011|||
2.4|3.3|2.8|173|VIII(c) Ewing tumor and related sarcomas of bone|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61175486|0-14|All Races|Male and Female|2011|||
4.6|5.7|5.1|313|X Germ cell, trophoblastic tumors & neoplasms of gonads|61175486|0-14|All Races|Male and Female|2011|||
1.2|1.9|1.5|94|X(a) Intracranial & intraspinal germ cell tumors|61175486|0-14|All Races|Male and Female|2011|||
0.9|1.5|1.2|74|X(b) Malignant extracranial & extragonadal germ cell tumors|61175486|0-14|All Races|Male and Female|2011|||
1.8|2.6|2.2|132|X(c) Malignant gonadal germ cell tumors|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|X(d) Gonadal carcinomas|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61175486|0-14|All Races|Male and Female|2011|||
7.0|8.4|7.7|469|XI Other malignant epithelial neoplasms and malignant melanomas|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61175486|0-14|All Races|Male and Female|2011|||
2.9|3.8|3.3|201|XI(b) Thyroid carcinomas|61175486|0-14|All Races|Male and Female|2011|||
0.2|0.5|0.3|19|XI(c) Nasopharyngeal carcinomas|61175486|0-14|All Races|Male and Female|2011|||
1.7|2.5|2.1|126|XI(d) Malignant melanomas|61175486|0-14|All Races|Male and Female|2011|||
~|~|~|~|XI(e) Skin carcinomas|61175486|0-14|All Races|Male and Female|2011|||
1.4|2.1|1.7|106|XI(f) Other and unspecified carcinomas|61175486|0-14|All Races|Male and Female|2011|||
0.5|0.9|0.6|40|XII Other and unspecified malignant neoplasms|61175486|0-14|All Races|Male and Female|2011|||
0.2|0.4|0.3|17|XII(a) Other specified malignant tumors|61175486|0-14|All Races|Male and Female|2011|||
0.2|0.6|0.4|23|XII(b) Other unspecified malignant tumors|61175486|0-14|All Races|Male and Female|2011|||
170.2|173.1|171.7|52569|All ICCC Groups Combined|305441154|0-14|All Races|Male and Female|2011-2015|||
51.7|53.4|52.5|16118|I Leukemias, myeloproliferative & myelodysplastic diseases|305441154|0-14|All Races|Male and Female|2011-2015|||
39.1|40.5|39.8|12210|I(a) Lymphoid leukemias|305441154|0-14|All Races|Male and Female|2011-2015|||
7.4|8.0|7.7|2358|I(b) Acute myeloid leukemias|305441154|0-14|All Races|Male and Female|2011-2015|||
1.6|1.9|1.7|520|I(c) Chronic myeloproliferative diseases|305441154|0-14|All Races|Male and Female|2011-2015|||
1.4|1.6|1.5|455|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|305441154|0-14|All Races|Male and Female|2011-2015|||
1.7|2.0|1.9|575|I(e) Unspecified and other specified leukemias|305441154|0-14|All Races|Male and Female|2011-2015|||
21.3|22.4|21.8|6664|II Lymphomas and reticuloendothelial neoplasms|305441154|0-14|All Races|Male and Female|2011-2015|||
5.3|5.8|5.6|1688|II(a) Hodgkin lymphomas|305441154|0-14|All Races|Male and Female|2011-2015|||
7.1|7.7|7.4|2246|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|305441154|0-14|All Races|Male and Female|2011-2015|||
2.3|2.7|2.5|767|II(c) Burkitt lymphoma|305441154|0-14|All Races|Male and Female|2011-2015|||
5.9|6.4|6.1|1879|II(d) Miscellaneous lymphoreticular neoplasms|305441154|0-14|All Races|Male and Female|2011-2015|||
0.2|0.3|0.3|84|II(e) Unspecified lymphomas|305441154|0-14|All Races|Male and Female|2011-2015|||
34.7|36.0|35.3|10807|III CNS and misc intracranial and intraspinal neoplasms|305441154|0-14|All Races|Male and Female|2011-2015|||
2.9|3.3|3.1|964|III(a) Ependymomas and choroid plexus tumor|305441154|0-14|All Races|Male and Female|2011-2015|||
17.7|18.6|18.1|5549|III(b) Astrocytomas|305441154|0-14|All Races|Male and Female|2011-2015|||
6.8|7.4|7.1|2178|III(c) Intracranial and intraspinal embryonal tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
5.5|6.0|5.7|1749|III(d) Other gliomas|305441154|0-14|All Races|Male and Female|2011-2015|||
0.6|0.8|0.7|201|III(e) Other specified intracranial & intraspinal neoplasms|305441154|0-14|All Races|Male and Female|2011-2015|||
0.5|0.6|0.5|166|III(f) Unspecified intracranial and intraspinal neoplasms|305441154|0-14|All Races|Male and Female|2011-2015|||
11.4|12.1|11.7|3618|IV Neuroblastoma and other peripheral nervous cell tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
11.1|11.9|11.5|3549|IV(a) Neuroblastoma and ganglioneuroblastoma|305441154|0-14|All Races|Male and Female|2011-2015|||
0.2|0.3|0.2|69|IV(b) Other peripheral nervous cell tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
10.7|11.5|11.1|3392|IX Soft tissue and other extraosseous sarcomas|305441154|0-14|All Races|Male and Female|2011-2015|||
4.9|5.4|5.1|1568|IX(a) Rhabdomyosarcomas|305441154|0-14|All Races|Male and Female|2011-2015|||
1.0|1.3|1.1|347|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|305441154|0-14|All Races|Male and Female|2011-2015|||
~|~|~|~|IX(c) Kaposi sarcoma|305441154|0-14|All Races|Male and Female|2011-2015|||
3.5|3.9|3.7|1129|IX(d) Other specified soft tissue sarcomas|305441154|0-14|All Races|Male and Female|2011-2015|||
1.0|1.2|1.1|340|IX(e) Unspecified soft tissue sarcomas|305441154|0-14|All Races|Male and Female|2011-2015|||
0.2|0.3|0.2|70|Not classified by ICCC|305441154|0-14|All Races|Male and Female|2011-2015|||
4.2|4.6|4.4|1358|V Retinoblastoma|305441154|0-14|All Races|Male and Female|2011-2015|||
8.8|9.4|9.1|2801|VI Renal tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
8.3|9.0|8.7|2670|VI(a) Nephroblastoma and other nonepithelial renal tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
0.3|0.5|0.4|117|VI(b) Renal carcinomas|305441154|0-14|All Races|Male and Female|2011-2015|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
2.9|3.3|3.1|959|VII Hepatic tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
2.5|2.8|2.7|821|VII(a) Hepatoblastoma|305441154|0-14|All Races|Male and Female|2011-2015|||
0.4|0.5|0.4|129|VII(b) Hepatic carcinomas|305441154|0-14|All Races|Male and Female|2011-2015|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
7.2|7.8|7.5|2277|VIII Malignant bone tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
3.9|4.4|4.1|1253|VIII(a) Osteosarcomas|305441154|0-14|All Races|Male and Female|2011-2015|||
0.1|0.2|0.2|58|VIII(b) Chondrosarcomas|305441154|0-14|All Races|Male and Female|2011-2015|||
2.5|2.8|2.7|809|VIII(c) Ewing tumor and related sarcomas of bone|305441154|0-14|All Races|Male and Female|2011-2015|||
0.3|0.5|0.4|118|VIII(d) Other specified malignant bone tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
0.1|0.2|0.1|39|VIII(e) Unspecified malignant bone tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
5.2|5.7|5.4|1662|X Germ cell, trophoblastic tumors & neoplasms of gonads|305441154|0-14|All Races|Male and Female|2011-2015|||
1.4|1.7|1.5|470|X(a) Intracranial & intraspinal germ cell tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
1.3|1.5|1.4|430|X(b) Malignant extracranial & extragonadal germ cell tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
2.1|2.4|2.2|675|X(c) Malignant gonadal germ cell tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
0.1|0.1|0.1|32|X(d) Gonadal carcinomas|305441154|0-14|All Races|Male and Female|2011-2015|||
0.1|0.2|0.2|55|X(e) Other and unspecified malignant gonadal tumors|305441154|0-14|All Races|Male and Female|2011-2015|||
8.3|9.0|8.7|2633|XI Other malignant epithelial neoplasms and malignant melanomas|305441154|0-14|All Races|Male and Female|2011-2015|||
