AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
5-9|~|~|~|~|VII(a) Hepatoblastoma|19665950|2002
<1|4.5|10.0|6.9|27|VII(a) Hepatoblastoma|3910837|2002
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15313864|2002
10-14|~|~|~|~|VII(b) Hepatic carcinomas|21040663|2002
15-19|0.6|1.6|1.0|21|VII(b) Hepatic carcinomas|20386049|2002
5-9|~|~|~|~|VII(b) Hepatic carcinomas|19665950|2002
<1|~|~|~|~|VII(b) Hepatic carcinomas|3910837|2002
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15313864|2002
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21040663|2002
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20386049|2002
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19665950|2002
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3910837|2002
1-4|1.1|2.4|1.6|25|VIII Malignant bone tumors|15313864|2002
10-14|11.4|14.6|12.9|272|VIII Malignant bone tumors|21040663|2002
15-19|14.2|17.7|15.8|323|VIII Malignant bone tumors|20386049|2002
5-9|5.0|7.2|6.1|119|VIII Malignant bone tumors|19665950|2002
<1|~|~|~|~|VIII Malignant bone tumors|3910837|2002
1-4|~|~|~|~|VIII(a) Osteosarcomas|15313864|2002
10-14|6.6|9.0|7.7|162|VIII(a) Osteosarcomas|21040663|2002
15-19|7.4|10.0|8.6|175|VIII(a) Osteosarcomas|20386049|2002
5-9|2.1|3.6|2.8|55|VIII(a) Osteosarcomas|19665950|2002
<1|~|~|~|~|VIII(a) Osteosarcomas|3910837|2002
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15313864|2002
10-14|~|~|~|~|VIII(b) Chondrosarcomas|21040663|2002
15-19|1.0|2.2|1.5|31|VIII(b) Chondrosarcomas|20386049|2002
5-9|~|~|~|~|VIII(b) Chondrosarcomas|19665950|2002
<1|~|~|~|~|VIII(b) Chondrosarcomas|3910837|2002
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|15313864|2002
10-14|3.2|5.0|4.0|85|VIII(c) Ewing tumor and related sarcomas of bone|21040663|2002
15-19|3.7|5.6|4.6|93|VIII(c) Ewing tumor and related sarcomas of bone|20386049|2002
5-9|2.2|3.8|2.9|57|VIII(c) Ewing tumor and related sarcomas of bone|19665950|2002
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3910837|2002
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|15313864|2002
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|21040663|2002
15-19|0.6|1.5|1.0|20|VIII(d) Other specified malignant bone tumors|20386049|2002
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|19665950|2002
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3910837|2002
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|15313864|2002
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21040663|2002
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20386049|2002
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19665950|2002
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3910837|2002
1-4|2.3|4.2|3.1|48|X Germ cell, trophoblastic tumors & neoplasms of gonads|15313864|2002
10-14|5.2|7.4|6.3|132|X Germ cell, trophoblastic tumors & neoplasms of gonads|21040663|2002
15-19|25.9|30.6|28.2|574|X Germ cell, trophoblastic tumors & neoplasms of gonads|20386049|2002
5-9|1.9|3.4|2.5|50|X Germ cell, trophoblastic tumors & neoplasms of gonads|19665950|2002
<1|18.0|27.7|22.5|88|X Germ cell, trophoblastic tumors & neoplasms of gonads|3910837|2002
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|15313864|2002
10-14|1.9|3.3|2.5|53|X(a) Intracranial & intraspinal germ cell tumors|21040663|2002
15-19|1.7|3.1|2.3|47|X(a) Intracranial & intraspinal germ cell tumors|20386049|2002
5-9|0.7|1.6|1.1|21|X(a) Intracranial & intraspinal germ cell tumors|19665950|2002
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3910837|2002
1-4|0.7|1.9|1.2|19|X(b) Malignant extracranial & extragonadal germ cell tumors|15313864|2002
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|21040663|2002
15-19|1.3|2.5|1.8|37|X(b) Malignant extracranial & extragonadal germ cell tumors|20386049|2002
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19665950|2002
<1|11.9|20.0|15.6|61|X(b) Malignant extracranial & extragonadal germ cell tumors|3910837|2002
1-4|1.0|2.3|1.6|24|X(c) Malignant gonadal germ cell tumors|15313864|2002
10-14|2.4|3.9|3.1|65|X(c) Malignant gonadal germ cell tumors|21040663|2002
15-19|19.9|24.1|21.9|447|X(c) Malignant gonadal germ cell tumors|20386049|2002
5-9|0.8|1.9|1.3|25|X(c) Malignant gonadal germ cell tumors|19665950|2002
<1|3.1|7.9|5.1|20|X(c) Malignant gonadal germ cell tumors|3910837|2002
1-4|~|~|~|~|X(d) Gonadal carcinomas|15313864|2002
10-14|~|~|~|~|X(d) Gonadal carcinomas|21040663|2002
15-19|0.8|1.8|1.2|24|X(d) Gonadal carcinomas|20386049|2002
5-9|~|~|~|~|X(d) Gonadal carcinomas|19665950|2002
<1|~|~|~|~|X(d) Gonadal carcinomas|3910837|2002
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15313864|2002
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|21040663|2002
15-19|0.6|1.5|0.9|19|X(e) Other and unspecified malignant gonadal tumors|20386049|2002
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19665950|2002
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3910837|2002
1-4|1.4|2.9|2.1|32|XI Other malignant epithelial neoplasms and malignant melanomas|15313864|2002
10-14|12.0|15.2|13.5|284|XI Other malignant epithelial neoplasms and malignant melanomas|21040663|2002
15-19|46.1|52.2|49.1|1000|XI Other malignant epithelial neoplasms and malignant melanomas|20386049|2002
5-9|3.2|5.0|4.0|79|XI Other malignant epithelial neoplasms and malignant melanomas|19665950|2002
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3910837|2002
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|15313864|2002
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|21040663|2002
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|20386049|2002
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|19665950|2002
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3910837|2002
1-4|~|~|~|~|XI(b) Thyroid carcinomas|15313864|2002
10-14|3.7|5.6|4.6|96|XI(b) Thyroid carcinomas|21040663|2002
15-19|15.3|19.0|17.1|348|XI(b) Thyroid carcinomas|20386049|2002
5-9|0.7|1.6|1.1|21|XI(b) Thyroid carcinomas|19665950|2002
<1|~|~|~|~|XI(b) Thyroid carcinomas|3910837|2002
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|15313864|2002
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|21040663|2002
15-19|1.2|2.4|1.8|36|XI(c) Nasopharyngeal carcinomas|20386049|2002
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19665950|2002
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3910837|2002
1-4|0.6|1.8|1.1|17|XI(d) Malignant melanomas|15313864|2002
10-14|3.2|5.0|4.0|85|XI(d) Malignant melanomas|21040663|2002
15-19|17.1|20.9|18.9|386|XI(d) Malignant melanomas|20386049|2002
5-9|1.2|2.4|1.7|34|XI(d) Malignant melanomas|19665950|2002
<1|~|~|~|~|XI(d) Malignant melanomas|3910837|2002
1-4|~|~|~|~|XI(e) Skin carcinomas|15313864|2002
10-14|~|~|~|~|XI(e) Skin carcinomas|21040663|2002
15-19|~|~|~|~|XI(e) Skin carcinomas|20386049|2002
5-9|~|~|~|~|XI(e) Skin carcinomas|19665950|2002
<1|~|~|~|~|XI(e) Skin carcinomas|3910837|2002
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15313864|2002
10-14|3.1|4.9|3.9|83|XI(f) Other and unspecified carcinomas|21040663|2002
15-19|9.6|12.5|11.0|224|XI(f) Other and unspecified carcinomas|20386049|2002
5-9|0.5|1.4|0.9|17|XI(f) Other and unspecified carcinomas|19665950|2002
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3910837|2002
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|15313864|2002
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|21040663|2002
15-19|1.3|2.5|1.8|37|XII Other and unspecified malignant neoplasms|20386049|2002
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|19665950|2002
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3910837|2002
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15313864|2002
10-14|~|~|~|~|XII(a) Other specified malignant tumors|21040663|2002
15-19|0.4|1.3|0.8|16|XII(a) Other specified malignant tumors|20386049|2002
5-9|~|~|~|~|XII(a) Other specified malignant tumors|19665950|2002
<1|~|~|~|~|XII(a) Other specified malignant tumors|3910837|2002
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15313864|2002
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|21040663|2002
15-19|0.6|1.6|1.0|21|XII(b) Other unspecified malignant tumors|20386049|2002
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|19665950|2002
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3910837|2002
1-4|201.0|215.3|208.0|3249|All ICCC Groups Combined|15616575|2003
10-14|123.2|132.9|128.0|2741|All ICCC Groups Combined|21415353|2003
15-19|207.0|219.6|213.3|4435|All ICCC Groups Combined|20797166|2003
5-9|109.9|119.5|114.6|2249|All ICCC Groups Combined|19620851|2003
<1|237.6|269.2|253.0|1006|All ICCC Groups Combined|3975871|2003
1-4|78.7|87.8|83.1|1298|I Leukemias, myeloproliferative & myelodysplastic diseases|15616575|2003
10-14|25.6|30.1|27.8|595|I Leukemias, myeloproliferative & myelodysplastic diseases|21415353|2003
15-19|28.3|33.2|30.7|638|I Leukemias, myeloproliferative & myelodysplastic diseases|20797166|2003
5-9|37.1|42.7|39.9|782|I Leukemias, myeloproliferative & myelodysplastic diseases|19620851|2003
<1|44.7|59.1|51.6|205|I Leukemias, myeloproliferative & myelodysplastic diseases|3975871|2003
1-4|64.5|72.7|68.5|1070|I(a) Lymphoid leukemias|15616575|2003
10-14|15.8|19.4|17.5|375|I(a) Lymphoid leukemias|21415353|2003
15-19|13.3|16.7|14.9|310|I(a) Lymphoid leukemias|20797166|2003
5-9|30.4|35.5|32.9|645|I(a) Lymphoid leukemias|19620851|2003
<1|15.3|24.2|19.4|77|I(a) Lymphoid leukemias|3975871|2003
1-4|8.3|11.5|9.8|153|I(b) Acute myeloid leukemias|15616575|2003
10-14|5.7|7.9|6.7|144|I(b) Acute myeloid leukemias|21415353|2003
15-19|7.5|10.1|8.8|182|I(b) Acute myeloid leukemias|20797166|2003
5-9|3.6|5.6|4.5|89|I(b) Acute myeloid leukemias|19620851|2003
<1|13.9|22.5|17.9|71|I(b) Acute myeloid leukemias|3975871|2003
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|15616575|2003
10-14|0.9|2.0|1.4|30|I(c) Chronic myeloproliferative diseases|21415353|2003
15-19|3.7|5.6|4.6|96|I(c) Chronic myeloproliferative diseases|20797166|2003
5-9|0.7|1.7|1.1|22|I(c) Chronic myeloproliferative diseases|19620851|2003
<1|3.7|8.7|5.8|23|I(c) Chronic myeloproliferative diseases|3975871|2003
1-4|2.0|3.7|2.8|43|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15616575|2003
10-14|1.1|2.2|1.5|33|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21415353|2003
15-19|0.8|1.8|1.2|25|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20797166|2003
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19620851|2003
<1|2.9|7.5|4.8|19|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3975871|2003
1-4|0.7|1.8|1.2|18|I(e) Unspecified and other specified leukemias|15616575|2003
10-14|~|~|~|~|I(e) Unspecified and other specified leukemias|21415353|2003
15-19|0.8|1.8|1.2|25|I(e) Unspecified and other specified leukemias|20797166|2003
5-9|~|~|~|~|I(e) Unspecified and other specified leukemias|19620851|2003
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3975871|2003
1-4|9.2|12.5|10.8|168|II Lymphomas and reticuloendothelial neoplasms|15616575|2003
10-14|20.6|24.7|22.6|484|II Lymphomas and reticuloendothelial neoplasms|21415353|2003
15-19|45.2|51.2|48.1|1001|II Lymphomas and reticuloendothelial neoplasms|20797166|2003
5-9|13.7|17.2|15.3|301|II Lymphomas and reticuloendothelial neoplasms|19620851|2003
<1|5.9|11.9|8.6|34|II Lymphomas and reticuloendothelial neoplasms|3975871|2003
1-4|0.7|1.9|1.2|19|II(a) Hodgkin lymphomas|15616575|2003
10-14|10.6|13.6|12.0|257|II(a) Hodgkin lymphomas|21415353|2003
15-19|29.5|34.4|31.9|663|II(a) Hodgkin lymphomas|20797166|2003
5-9|3.6|5.5|4.5|88|II(a) Hodgkin lymphomas|19620851|2003
<1|~|~|~|~|II(a) Hodgkin lymphomas|3975871|2003
1-4|3.9|6.2|4.9|77|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15616575|2003
10-14|6.8|9.3|8.0|171|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21415353|2003
15-19|11.8|14.9|13.3|276|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20797166|2003
5-9|5.4|7.7|6.5|127|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19620851|2003
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3975871|2003
1-4|1.7|3.3|2.4|37|II(c) Burkitt lymphoma|15616575|2003
10-14|1.8|3.1|2.4|51|II(c) Burkitt lymphoma|21415353|2003
15-19|1.7|3.1|2.4|49|II(c) Burkitt lymphoma|20797166|2003
5-9|3.0|4.7|3.8|74|II(c) Burkitt lymphoma|19620851|2003
<1|~|~|~|~|II(c) Burkitt lymphoma|3975871|2003
1-4|1.5|3.0|2.1|33|II(d) Miscellaneous lymphoreticular neoplasms|15616575|2003
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|21415353|2003
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20797166|2003
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19620851|2003
<1|3.7|8.7|5.8|23|II(d) Miscellaneous lymphoreticular neoplasms|3975871|2003
1-4|~|~|~|~|II(e) Unspecified lymphomas|15616575|2003
10-14|~|~|~|~|II(e) Unspecified lymphomas|21415353|2003
15-19|~|~|~|~|II(e) Unspecified lymphomas|20797166|2003
5-9|~|~|~|~|II(e) Unspecified lymphomas|19620851|2003
<1|~|~|~|~|II(e) Unspecified lymphomas|3975871|2003
1-4|37.9|44.3|41.0|640|III CNS and misc intracranial and intraspinal neoplasms|15616575|2003
10-14|24.4|28.8|26.5|568|III CNS and misc intracranial and intraspinal neoplasms|21415353|2003
15-19|20.0|24.1|22.0|457|III CNS and misc intracranial and intraspinal neoplasms|20797166|2003
5-9|30.0|35.1|32.5|637|III CNS and misc intracranial and intraspinal neoplasms|19620851|2003
<1|29.9|41.8|35.5|141|III CNS and misc intracranial and intraspinal neoplasms|3975871|2003
1-4|3.8|6.0|4.8|75|III(a) Ependymomas and choroid plexus tumor|15616575|2003
10-14|0.9|2.0|1.4|30|III(a) Ependymomas and choroid plexus tumor|21415353|2003
15-19|1.3|2.5|1.8|37|III(a) Ependymomas and choroid plexus tumor|20797166|2003
5-9|1.2|2.4|1.7|34|III(a) Ependymomas and choroid plexus tumor|19620851|2003
<1|~|~|~|~|III(a) Ependymomas and choroid plexus tumor|3975871|2003
1-4|18.4|22.9|20.6|321|III(b) Astrocytomas|15616575|2003
10-14|12.6|15.8|14.1|303|III(b) Astrocytomas|21415353|2003
15-19|10.7|13.7|12.1|252|III(b) Astrocytomas|20797166|2003
5-9|13.8|17.3|15.5|304|III(b) Astrocytomas|19620851|2003
<1|11.5|19.4|15.1|60|III(b) Astrocytomas|3975871|2003
1-4|8.0|11.1|9.5|148|III(c) Intracranial and intraspinal embryonal tumors|15616575|2003
10-14|3.2|4.9|4.0|85|III(c) Intracranial and intraspinal embryonal tumors|21415353|2003
15-19|2.2|3.7|2.8|59|III(c) Intracranial and intraspinal embryonal tumors|20797166|2003
5-9|6.5|9.0|7.7|151|III(c) Intracranial and intraspinal embryonal tumors|19620851|2003
<1|9.6|16.9|12.8|51|III(c) Intracranial and intraspinal embryonal tumors|3975871|2003
1-4|4.1|6.4|5.2|81|III(d) Other gliomas|15616575|2003
10-14|4.8|6.9|5.8|124|III(d) Other gliomas|21415353|2003
15-19|3.2|5.0|4.0|84|III(d) Other gliomas|20797166|2003
5-9|5.2|7.4|6.2|122|III(d) Other gliomas|19620851|2003
<1|~|~|~|~|III(d) Other gliomas|3975871|2003
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15616575|2003
10-14|0.4|1.2|0.7|16|III(e) Other specified intracranial & intraspinal neoplasms|21415353|2003
15-19|0.4|1.2|0.8|16|III(e) Other specified intracranial & intraspinal neoplasms|20797166|2003
5-9|0.7|1.8|1.2|23|III(e) Other specified intracranial & intraspinal neoplasms|19620851|2003
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3975871|2003
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15616575|2003
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21415353|2003
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20797166|2003
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19620851|2003
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3975871|2003
1-4|18.5|23.1|20.7|324|IV Neuroblastoma and other peripheral nervous cell tumors|15616575|2003
10-14|1.3|2.5|1.9|40|IV Neuroblastoma and other peripheral nervous cell tumors|21415353|2003
15-19|0.4|1.2|0.8|16|IV Neuroblastoma and other peripheral nervous cell tumors|20797166|2003
5-9|2.3|3.9|3.1|60|IV Neuroblastoma and other peripheral nervous cell tumors|19620851|2003
<1|50.4|65.6|57.6|229|IV Neuroblastoma and other peripheral nervous cell tumors|3975871|2003
1-4|18.5|23.1|20.7|323|IV(a) Neuroblastoma and ganglioneuroblastoma|15616575|2003
10-14|1.1|2.2|1.6|34|IV(a) Neuroblastoma and ganglioneuroblastoma|21415353|2003
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|20797166|2003
5-9|2.2|3.8|3.0|58|IV(a) Neuroblastoma and ganglioneuroblastoma|19620851|2003
<1|50.1|65.3|57.3|228|IV(a) Neuroblastoma and ganglioneuroblastoma|3975871|2003
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15616575|2003
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21415353|2003
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20797166|2003
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19620851|2003
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3975871|2003
1-4|9.6|13.0|11.2|175|IX Soft tissue and other extraosseous sarcomas|15616575|2003
10-14|10.4|13.4|11.8|253|IX Soft tissue and other extraosseous sarcomas|21415353|2003
15-19|15.0|18.6|16.7|348|IX Soft tissue and other extraosseous sarcomas|20797166|2003
5-9|6.7|9.2|7.9|155|IX Soft tissue and other extraosseous sarcomas|19620851|2003
<1|12.8|21.1|16.6|66|IX Soft tissue and other extraosseous sarcomas|3975871|2003
1-4|6.3|9.1|7.6|119|IX(a) Rhabdomyosarcomas|15616575|2003
10-14|3.0|4.7|3.8|81|IX(a) Rhabdomyosarcomas|21415353|2003
15-19|3.2|4.9|4.0|83|IX(a) Rhabdomyosarcomas|20797166|2003
5-9|3.6|5.5|4.4|87|IX(a) Rhabdomyosarcomas|19620851|2003
<1|3.1|7.8|5.0|20|IX(a) Rhabdomyosarcomas|3975871|2003
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15616575|2003
10-14|0.6|1.6|1.0|22|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21415353|2003
15-19|2.0|3.4|2.6|55|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20797166|2003
5-9|0.5|1.4|0.9|18|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19620851|2003
<1|2.3|6.5|4.0|16|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3975871|2003
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15616575|2003
10-14|~|~|~|~|IX(c) Kaposi sarcoma|21415353|2003
15-19|~|~|~|~|IX(c) Kaposi sarcoma|20797166|2003
5-9|~|~|~|~|IX(c) Kaposi sarcoma|19620851|2003
<1|~|~|~|~|IX(c) Kaposi sarcoma|3975871|2003
1-4|1.7|3.3|2.4|38|IX(d) Other specified soft tissue sarcomas|15616575|2003
10-14|4.5|6.5|5.5|117|IX(d) Other specified soft tissue sarcomas|21415353|2003
15-19|6.8|9.2|7.9|165|IX(d) Other specified soft tissue sarcomas|20797166|2003
5-9|1.6|3.0|2.2|43|IX(d) Other specified soft tissue sarcomas|19620851|2003
<1|3.3|8.1|5.3|21|IX(d) Other specified soft tissue sarcomas|3975871|2003
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|15616575|2003
10-14|1.1|2.2|1.5|33|IX(e) Unspecified soft tissue sarcomas|21415353|2003
15-19|1.5|2.8|2.1|44|IX(e) Unspecified soft tissue sarcomas|20797166|2003
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|19620851|2003
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3975871|2003
1-4|~|~|~|~|Not classified by ICCC|15616575|2003
10-14|~|~|~|~|Not classified by ICCC|21415353|2003
15-19|~|~|~|~|Not classified by ICCC|20797166|2003
5-9|~|~|~|~|Not classified by ICCC|19620851|2003
<1|~|~|~|~|Not classified by ICCC|3975871|2003
1-4|6.4|9.3|7.7|121|V Retinoblastoma|15616575|2003
10-14|~|~|~|~|V Retinoblastoma|21415353|2003
15-19|~|~|~|~|V Retinoblastoma|20797166|2003
5-9|~|~|~|~|V Retinoblastoma|19620851|2003
<1|23.2|33.9|28.2|112|V Retinoblastoma|3975871|2003
1-4|17.6|22.1|19.8|309|VI Renal tumors|15616575|2003
10-14|1.1|2.2|1.5|33|VI Renal tumors|21415353|2003
15-19|0.9|1.9|1.3|27|VI Renal tumors|20797166|2003
5-9|4.2|6.3|5.2|102|VI Renal tumors|19620851|2003
<1|14.2|22.8|18.1|72|VI Renal tumors|3975871|2003
1-4|17.3|21.8|19.5|304|VI(a) Nephroblastoma and other nonepithelial renal tumors|15616575|2003
10-14|0.6|1.5|1.0|21|VI(a) Nephroblastoma and other nonepithelial renal tumors|21415353|2003
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|20797166|2003
5-9|3.9|5.9|4.8|94|VI(a) Nephroblastoma and other nonepithelial renal tumors|19620851|2003
<1|14.2|22.8|18.1|72|VI(a) Nephroblastoma and other nonepithelial renal tumors|3975871|2003
1-4|~|~|~|~|VI(b) Renal carcinomas|15616575|2003
10-14|~|~|~|~|VI(b) Renal carcinomas|21415353|2003
15-19|0.7|1.7|1.2|24|VI(b) Renal carcinomas|20797166|2003
5-9|~|~|~|~|VI(b) Renal carcinomas|19620851|2003
<1|~|~|~|~|VI(b) Renal carcinomas|3975871|2003
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|15616575|2003
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|21415353|2003
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|20797166|2003
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|19620851|2003
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3975871|2003
1-4|3.4|5.5|4.4|68|VII Hepatic tumors|15616575|2003
10-14|0.6|1.5|1.0|21|VII Hepatic tumors|21415353|2003
15-19|0.7|1.6|1.1|22|VII Hepatic tumors|20797166|2003
5-9|~|~|~|~|VII Hepatic tumors|19620851|2003
<1|9.6|16.9|12.8|51|VII Hepatic tumors|3975871|2003
1-4|3.2|5.2|4.1|64|VII(a) Hepatoblastoma|15616575|2003
10-14|~|~|~|~|VII(a) Hepatoblastoma|21415353|2003
15-19|~|~|~|~|VII(a) Hepatoblastoma|20797166|2003
5-9|~|~|~|~|VII(a) Hepatoblastoma|19620851|2003
<1|9.3|16.6|12.6|50|VII(a) Hepatoblastoma|3975871|2003
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15616575|2003
10-14|0.4|1.2|0.7|16|VII(b) Hepatic carcinomas|21415353|2003
15-19|0.7|1.6|1.1|22|VII(b) Hepatic carcinomas|20797166|2003
5-9|~|~|~|~|VII(b) Hepatic carcinomas|19620851|2003
<1|~|~|~|~|VII(b) Hepatic carcinomas|3975871|2003
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15616575|2003
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21415353|2003
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20797166|2003
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19620851|2003
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3975871|2003
1-4|1.2|2.6|1.8|28|VIII Malignant bone tumors|15616575|2003
10-14|11.9|15.0|13.4|286|VIII Malignant bone tumors|21415353|2003
15-19|13.1|16.5|14.7|306|VIII Malignant bone tumors|20797166|2003
5-9|3.6|5.5|4.5|88|VIII Malignant bone tumors|19620851|2003
<1|~|~|~|~|VIII Malignant bone tumors|3975871|2003
1-4|~|~|~|~|VIII(a) Osteosarcomas|15616575|2003
10-14|6.9|9.4|8.1|173|VIII(a) Osteosarcomas|21415353|2003
15-19|8.7|11.5|10.0|209|VIII(a) Osteosarcomas|20797166|2003
5-9|1.7|3.1|2.3|46|VIII(a) Osteosarcomas|19620851|2003
<1|~|~|~|~|VIII(a) Osteosarcomas|3975871|2003
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15616575|2003
10-14|~|~|~|~|VIII(b) Chondrosarcomas|21415353|2003
15-19|~|~|~|~|VIII(b) Chondrosarcomas|20797166|2003
5-9|~|~|~|~|VIII(b) Chondrosarcomas|19620851|2003
<1|~|~|~|~|VIII(b) Chondrosarcomas|3975871|2003
1-4|0.7|1.8|1.2|18|VIII(c) Ewing tumor and related sarcomas of bone|15616575|2003
10-14|3.1|4.8|3.9|83|VIII(c) Ewing tumor and related sarcomas of bone|21415353|2003
15-19|2.8|4.5|3.6|75|VIII(c) Ewing tumor and related sarcomas of bone|20797166|2003
5-9|1.1|2.3|1.6|32|VIII(c) Ewing tumor and related sarcomas of bone|19620851|2003
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3975871|2003
